Sites,Latitude,Longitude,Country,Site Links,Image Source,Paragraph
Menhir de Champ-Dolent,48.5353173,-1.7393607,France,https://www.megalithicbuilders.com/europe/france/dol-de-bretagne-menhir-de-champ-dolent,,"The Menhir de Champ-Dolent is a menhir, or upright standing stone, located in a field outside the town of Dol-de-Bretagne. It is the largest standing stone in Brittany and is over 9 meters high."
Menhir de Kerloas,,,France,https://www.megalithicbuilders.com/europe/france/kerloas-menhir-de-kerloas,,"The menhir of Kerloas, also called menhir of Kervéatoux, is located in Plouarzel in the department of Finistère. It is considered the highest menhir currently standing 1, with its 9.50 m above the ground."
Locmariaquer Megaliths,,,France,https://www.megalithicbuilders.com/europe/france/locmariaquer-locmariaquer-megaliths,,"The Locmariaquer megaliths are a complex of Neolithic constructions in Locmariaquer, Brittany. They comprise the elaborate Er-Grah tumulus passage grave, a dolmen known as the Table des Marchand and ""The Broken Menhir of Er Grah"", the largest known single block of stone to have been transported and erected by Neolithic people."
Gollenstein,49.2446165,7.2495165,Germany,https://www.megalithicbuilders.com/europe/germany/blieskastel-gollenstein,,"The Gollenstein near Blieskastel in the Saarpfalz district of Saarland is an approximately 4,000-year-old menhir and, with its height of 6.58 meters, is considered the largest menhir in Central Europe. It stands on the Blieskasteler mountain northwest of the city center and is considered a landmark of the baroque town of Blieskastel."
Brownshill Dolmen,52.8375208,-6.8811186,Ireland,https://www.megalithicbuilders.com/europe/ireland/carlow-brownshill-dolmen,,"The Brownshill Dolmen (Dolmain Chnoc an Bhrúnaigh in Irish) is a megalithic portal tomb situated 3 km east of Carlow, in County Carlow, Ireland. It lies just off the R726 regional road and is clearly visible from the road. The capstone at Brownshill, weighing an estimated 100 metric tons, is reputed to be the heaviest in Europe. The tomb is listed as a National Monument."
Kordin Temples,,,Malta,https://www.megalithicbuilders.com/europe/malta/corradino-kordin-temples,,"The Kordin Temples are a group of megalithic temples on Corradino Heights in Paola, Malta. The temples were inhabited from pre-history, by Phoenicians and then by the Greeks and Roman periods. In the 17th century the site belonged to Giovanni Francesco Abela. He had excavated several sites in the whereabouts, and had his country residence in the area. He had originally planned to write his will to the Order, but eventually left his villa, that was used as Malta's first museum, known as Museo di San Giacomo, and the surrounding lands to the Jesuits. The land still belonged to the Jesuits, until their expulsion in the 18th century by the Order when all their land and property was taken by the treasury. The site was escavated during the Order of St. John on the order of Grand Master Manuel Pinto da Fonseca by archeologist Gio Antonio Barbaro. The temples were then extensively excavated by Sir Themistocles Zammit during the British period."
Ta' Hagrat Temple Complex,,,Malta,https://www.megalithicbuilders.com/europe/malta/mgarr-ta-hagrat-temple-complex,,"The Ta' Ħaġrat temples in Mġarr, Malta is recognized as a UNESCO World Heritage Site, along with several other Megalithic temples. They are amongst the most ancient religious sites on Earth. The larger Ta' Ħaġrat temple dates from the Ġgantija phase (3600–3200 BCE); the smaller is dated to the Saflieni phase (3300–3000 BCE)."
Hagar Qim Temple Complex,,,Malta,https://www.megalithicbuilders.com/europe/malta/qrendi-hagar-qim-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/qrendi-hagar-qim-temple-complex/qrendi-hagar-qim-temple-complex-main1.jpg,"Ħaġar Qim (""Standing/Worshipping Stones"") is a megalithic temple complex found on the Mediterranean island of Malta, dating from the Ġgantija phase (3600-3200 BC). The Megalithic Temples of Malta are among the most ancient religious sites on Earth, described by the World Heritage Sites committee as ""unique architectural masterpieces."" In 1992 UNESCO recognized Ħaġar Qim and four other Maltese megalithic structures as World Heritage Sites. V. Gordon Childe, Professor of Prehistoric European Archeology and director of the Institute of Archaeology in the University of London from 1946-1957 visited Ħaġar Qim. He wrote, ""I have been visiting the prehistoric ruins all round the Mediterranean, from Mesopotamia to Egypt, Greece and Switzerland, but I have nowhere seen a place as old as this one."""
Mnajdra Temple Complex,,,Malta,https://www.megalithicbuilders.com/europe/malta/qrendi-mnajdra-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/qrendi-mnajdra-temple-complex/qrendi-mnajdra-temple-complex-main1.jpg,"Mnajdra (Maltese: L-Imnajdra) is a megalithic temple complex found on the southern coast of the Mediterranean island of Malta. Mnajdra is approximately 500 metres from the Ħaġar Qim megalithic complex. Mnajdra was built around the fourth millennium BCE; the Megalithic Temples of Malta are among the most ancient religious sites on Earth, described by the World Heritage Sites committee as ""unique architectural masterpieces."" In 1992 UNESCO recognized the Mnajdra complex and four other Maltese megalithic structures as UNESCO World Heritage Sites. In 2009 work was completed on a protective tent."
Skorba Temple Complex,,,Malta,https://www.megalithicbuilders.com/europe/malta/zebbiegh-skorba-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/zebbiegh-skorba-temple-complex/zebbiegh-skorba-temple-complex-main1.jpg,"The Skorba temples are megalithic remains on the northern edge of Żebbiegħ, in Malta, which have provided detailed and informative insight into the earliest periods of Malta's neolithic culture. The site was only excavated in the early 1960s, rather late in comparison to other megalithic sites, some of which had been studied since the early 19th century. The site's importance has led to its listing as a UNESCO World Heritage Site, a listing it shares with six other megalithic temples in Malta."
Hunebedden Dolmens,,,Netherlands,https://www.megalithicbuilders.com/europe/netherlands/drenthe-hunebedden-dolmens,,"Drenthe is a province of the Netherlands, located in the northeast of the country. It is bordered by Overijssel to the south, Friesland to the west, Groningen to the north, and Germany (districts of Emsland and Bentheim) to the east. In January 2017, it had a population of 491,867 and a total area of 2,683 km2 (1,036 sq mi)."
Bimini Road,26.962724,-80.107099,Bahamas,https://www.megalithicbuilders.com/north-america/bahamas/bimini-bimini-road,,"The Bimini Road, sometimes called the Bimini Wall, is an underwater rock formation near North Bimini island in the Bahamas. The Road consists of a 0.8 km (0.50 mi)-long northeast-southwest linear feature composed of roughly rectangular to subrectangular limestone blocks. Various claims have been made for this feature being either a wall, road, pier, breakwater, or other man-made structure. However, credible evidence or arguments are lacking for such an origin."
Stone Spheres,,,Costa Rica,https://www.megalithicbuilders.com/north-america/costa-rica/isla-del-cano-stone-spheres,https://www.megalithicbuilders.com/images/south-america/costa-rica/isla-del-cano-stone-spheres/isla-del-cano-stone-spheres-main1.jpg,"The stone spheres (or stone balls) of Costa Rica are an assortment of over three hundred petrospheres in Costa Rica, located on the Diquís Delta and on Isla del Caño. Locally, they are known as Las Bolas (literally The Balls). The spheres are commonly attributed to the extinct Diquís culture and are sometimes referred to as the Diquís Spheres. They are the best-known stone sculptures of the Isthmo-Colombian area. They are thought to have been placed in lines along the approach to the houses of chiefs, but their exact significance remains uncertain."
Cuban Underwater City,,,Cuba,https://www.megalithicbuilders.com/north-america/cuba/pinar-del-rio-cuban-underwater-city,,Cuban underwater city refers to a site thought by some to be a submerged granite structural complex off the coast of the Guanahacabibes Peninsula in the Pinar del Río Province of Cuba.
La Venta Complex,17.9933677,-94.5487852,Mexico,https://www.megalithicbuilders.com/north-america/mexico/la-venta-la-venta-complex,,"La Venta is a pre-Columbian archaeological site of the Olmec civilization located in the present-day Mexican state of Tabasco. Some of the artifacts have been moved to the museum ""Parque - Museo de La Venta"", which is in nearby Villahermosa, the capital of Tabasco."
Tres Zapotes Complex,18.466667,-95.436389,Mexico,https://www.megalithicbuilders.com/north-america/mexico/tres-zapotes-tres-zapotes-complex,,"The 2000-year existence of Tres Zapotes as a cultural center is unusual, if not unique, in Mesoamerica."
San Agustin Archaeological Park,,,Columbia,https://www.megalithicbuilders.com/south-america/columbia/huila-san-agustin-archaeological-park,https://www.megalithicbuilders.com/images/south-america/columbia/huila-san-agustin-archaeological-park/huila-san-agustin-archaeological-park-main1.jpg,"The statues were first described by a Spanish monk, Fray Juan de Santa Gertrudis (1724–1799), who visited the countries of Colombia (then part of the New Kingdom of Granada), Ecuador and Peru in 1756–57 as a missionary. He passed through San Agustín in mid-1756, and wrote about the statues in his four-volume work Maravillas de la naturaleza (English: Wonders of Nature)."
Gate of the Gods,-16.1707193,-69.5410622,Peru,https://www.megalithicbuilders.com/south-america/peru/aramu-muru-gate-of-the-gods,,"An abandoned stone place in Peru, near Lake Titicaca, known as a “Gate of the Gods”, portal and stargate. It remained after Incan civilization. The doorway itself looks like a big T letter, carved into the rock wall. An adult person could fit into the doorway. There are old legends that people traveled in space through the portal. Aramu Muru could be classified as a mystical artifact, though its paranormal features yet to be scientifically proven. The place is a popular tourist destination for paranormal pilgrimage."
Temple of Huaytará,-13.6044057,-75.3531892,Peru,https://www.megalithicbuilders.com/south-america/peru/huaytara-temple-of-huaytara,,"The archaeological complex of Huaytará is located in the district of Huaytará, within the province of the same name, in the department and region of Huancavelica."
