Sites,Latitude,Longitude,Country,Site Links,Image Source,Paragraph
Mnajdra Temple Complex,35.82266338,14.43516493,Malta,https://www.megalithicbuilders.com/europe/malta/qrendi-mnajdra-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/qrendi-mnajdra-temple-complex/qrendi-mnajdra-temple-complex-main1.jpg,"Mnajdra (Maltese: L-Imnajdra) is a megalithic temple complex found on the southern coast of the Mediterranean island of Malta. Mnajdra is approximately 500 metres from the Ä¦aÄ¡ar Qim megalithic complex. Mnajdra was built around the fourth millennium BCE; the Megalithic Temples of Malta are among the most ancient religious sites on Earth, described by the World Heritage Sites committee as ""unique architectural masterpieces."" In 1992 UNESCO recognized the Mnajdra complex and four other Maltese megalithic structures as UNESCO World Heritage Sites. In 2009 work was completed on a protective tent."
Skorba Temple Complex,35.91913632,14.37326184,Malta,https://www.megalithicbuilders.com/europe/malta/zebbiegh-skorba-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/zebbiegh-skorba-temple-complex/zebbiegh-skorba-temple-complex-main1.jpg,"The Skorba temples are megalithic remains on the northern edge of Å»ebbiegÄ§, in Malta, which have provided detailed and informative insight into the earliest periods of Malta's neolithic culture. The site was only excavated in the early 1960s, rather late in comparison to other megalithic sites, some of which had been studied since the early 19th century. The site's importance has led to its listing as a UNESCO World Heritage Site, a listing it shares with six other megalithic temples in Malta."
Hunebedden Dolmens,52.132633,5.291266,Netherlands,https://www.megalithicbuilders.com/europe/netherlands/drenthe-hunebedden-dolmens,http://www.hunebedden.nl/d15_avondstemming.jpg,"Drenthe is a province of the Netherlands, located in the northeast of the country. It is bordered by Overijssel to the south, Friesland to the west, Groningen to the north, and Germany (districts of Emsland and Bentheim) to the east. In January 2017, it had a population of 491,867 and a total area of 2,683 km2 (1,036 sq mi)."
Bimini Road,26.962724,-80.107099,Bahamas,https://www.megalithicbuilders.com/north-america/bahamas/bimini-bimini-road,https://allthatsinteresting.com/wordpress/wp-content/uploads/2018/05/bimini-road-diver.jpg,"The Bimini Road, sometimes called the Bimini Wall, is an underwater rock formation near North Bimini island in the Bahamas. The Road consists of a 0.8 km (0.50 mi)-long northeast-southwest linear feature composed of roughly rectangular to subrectangular limestone blocks. Various claims have been made for this feature being either a wall, road, pier, breakwater, or other man-made structure. However, credible evidence or arguments are lacking for such an origin."
Stone Spheres,8.911389,-83.4775,Costa Rica,https://www.megalithicbuilders.com/north-america/costa-rica/isla-del-cano-stone-spheres,https://www.megalithicbuilders.com/images/south-america/costa-rica/isla-del-cano-stone-spheres/isla-del-cano-stone-spheres-main1.jpg,"The stone spheres (or stone balls) of Costa Rica are an assortment of over three hundred petrospheres in Costa Rica, located on the DiquÃ­s Delta and on Isla del CaÃ±o. Locally, they are known as Las Bolas (literally The Balls). The spheres are commonly attributed to the extinct DiquÃ­s culture and are sometimes referred to as the DiquÃ­s Spheres. They are the best-known stone sculptures of the Isthmo-Colombian area. They are thought to have been placed in lines along the approach to the houses of chiefs, but their exact significance remains uncertain."
Cuban Underwater City,21.772547,-84.836736,Cuba,https://www.megalithicbuilders.com/north-america/cuba/pinar-del-rio-cuban-underwater-city,https://www.ancient-origins.net/sites/default/files/field/image/sunken-city-cuba.jpg,Cuban underwater city refers to a site thought by some to be a submerged granite structural complex off the coast of the Guanahacabibes Peninsula in the Pinar del RÃ­o Province of Cuba.
La Venta Complex,7.88788485,-72.50904154,Mexico,https://www.megalithicbuilders.com/north-america/mexico/la-venta-la-venta-complex,http://www.ancient-wisdom.com/Images/countries/American%20pics/laventa.gif,"La Venta is a pre-Columbian archaeological site of the Olmec civilization located in the present-day Mexican state of Tabasco. Some of the artifacts have been moved to the museum ""Parque - Museo de La Venta"", which is in nearby Villahermosa, the capital of Tabasco."
Tres Zapotes Complex,18.466667,-95.436389,Mexico,https://www.megalithicbuilders.com/north-america/mexico/tres-zapotes-tres-zapotes-complex,http://www.ancientpages.com/wp-content/uploads/2017/05/treszapotes2.jpg,"The 2000-year existence of Tres Zapotes as a cultural center is unusual, if not unique, in Mesoamerica."
San Agustin Archaeological Park,1.916667,-76.233333,Columbia,https://www.megalithicbuilders.com/south-america/columbia/huila-san-agustin-archaeological-park,https://www.megalithicbuilders.com/images/south-america/columbia/huila-san-agustin-archaeological-park/huila-san-agustin-archaeological-park-main1.jpg,"The statues were first described by a Spanish monk, Fray Juan de Santa Gertrudis (1724â€“1799), who visited the countries of Colombia (then part of the New Kingdom of Granada), Ecuador and Peru in 1756â€“57 as a missionary. He passed through San AgustÃ­n in mid-1756, and wrote about the statues in his four-volume work Maravillas de la naturaleza (English: Wonders of Nature)."
Gate of the Gods,-16.1707193,-69.5410622,Peru,https://www.megalithicbuilders.com/south-america/peru/aramu-muru-gate-of-the-gods,http://www.ancient-wisdom.com/Images/countries/American%20pics/aramu%20muru.jpg,"An abandoned stone place in Peru, near Lake Titicaca, known as a â€œGate of the Godsâ€, portal and stargate. It remained after Incan civilization. The doorway itself looks like a big T letter, carved into the rock wall. An adult person could fit into the doorway. There are old legends that people traveled in space through the portal. Aramu Muru could be classified as a mystical artifact, though its paranormal features yet to be scientifically proven. The place is a popular tourist destination for paranormal pilgrimage."
Temple of HuaytarÃ¡,-13.6044057,-75.3531892,Peru,https://www.megalithicbuilders.com/south-america/peru/huaytara-temple-of-huaytara,http://www.limaeasy.com/images/igallery/resized/4701-4800/huaytara2-4728-700-600-80-c-rd-239-238-171.jpg,"The archaeological complex of HuaytarÃ¡ is located in the district of HuaytarÃ¡, within the province of the same name, in the department and region of Huancavelica."
Pyramid of Djedefre,30.0321443,31.07493812,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/abu-roash-pyramid-of-djedefre,https://www.megalithicbuilders.com/images/africa/egypt/abu-roash-pyramid-of-djedefre/abu-roash-pyramid-of-djedefre-main.jpg,"Abu Rawash (also spelled Abu Roach, Abu Roash), 8 km to the North of Giza, is the site of Egypt's most northerly pyramid, also known as the lost pyramid — the mostly ruined Pyramid of Djedefre, the son and successor of Khufu. Originally, it was thought that this pyramid had never been completed, but the current archaeological consensus is that not only was it completed, but that it was built about the same size as the Pyramid of Menkaure – the third largest of the Giza pyramids. One notable fact about the pyramid at Abu Roash is that the upper most part of the pyramid has seemingly disappeared, revealing the internal passage that runs down into the bedrock. Explanations to why this pyramid is missing its top vary. The second point of interest that this pyramid provides is that it is built on top of a hillock. The builders faced the colossal task of not only hauling megalithic stones up a pyramid but also up a hillock."
Necropolis,22.6651095,-102.9955829,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/abusir-necropolis,https://www.megalithicbuilders.com/images/africa/egypt/abusir-necropolis/abusir-necropolis-main1.jpg,"Abusir (""the House or Temple of Osiris"") is the name given to an Egyptian archaeological locality – specifically, an extensive necropolis of the Old Kingdom period, together with later additions – in the vicinity of the modern capital Cairo. The name is also that of a neighbouring village in the Nile Valley, whence the site takes its name. Abusir is located several kilometres north of Saqqara and, like it, served as one of the main elite cemeteries for the ancient Egyptian capital city of Memphis. Several other villages in northern and southern Egypt are named Abusir or Busiri. Abusir is one relatively small segment of the extensive ""pyramid field"" that extends from north of Giza to below Saqqara."
Bent Pyramid,29.79023565,31.20946815,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/dashur-bent-pyramid,https://www.megalithicbuilders.com/images/africa/egypt/dashur-bent-pyramid/dashur-bent-pyramid-main1.jpg,"The Bent Pyramid is an ancient Egyptian pyramid located at the royal necropolis of Dahshur, approximately 40 kilometres south of Cairo, theorized to have been built under the Old Kingdom Pharaoh Sneferu (c. 2600 BC). Also theorized to be a unique example of early pyramid development in Egypt, and the second pyramid built by Sneferu."
Pyramid Complex,29.978485,31.1324618,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/giza-plateau-pyramid-complex,https://www.megalithicbuilders.com/images/africa/egypt/giza-plateau-pyramid-complex/giza-plateau-pyramid-complex-main1.jpg,"The Giza Pyramid Complex (""Pyramids of Giza"") is an archaeological site on the Giza Plateau, on the outskirts of Cairo, Egypt."
Great Sphinx of Giza,29.9752458,31.1373822,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/giza-plateau-great-sphinx-of-giza,https://www.megalithicbuilders.com/images/africa/egypt/giza-plateau-sphinx/giza-plateau-sphinx-main1.jpg,"The Great Sphinx of Giza, commonly referred to as the Sphinx of Giza or just the Sphinx, is a limestone statue of a reclining sphinx, a mythical creature with the body of a lion and the head of a human. Facing directly from West to East, it stands on the Giza Plateau on the west bank of the Nile in Giza, Egypt. The face of the Sphinx is generally believed to represent the Pharaoh Khafre."
Valley Temple,31.098207,-97.3427847,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/giza-plateau-valley-temple,https://www.megalithicbuilders.com/images/africa/egypt/giza-plateau-valley-temple/gallery/giza-plateau-valley-temple-01.jpg,"The first complete exploration was conducted by John Perring in 1837. In 1853, Auguste Mariette partially excavated Khafre's Valley Temple, and, in 1858, while completing its clearance, he managed to discover a diorite statue."
Serapeum,37.3983675,25.27052021,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/saqqara-serapeum,https://www.megalithicbuilders.com/images/africa/egypt/saqqara-serapeum/gallery/saqqara-serapeum-01.jpg,"The Serapeum of Saqqara is a serapeum located north west of the Pyramid of Djoser at Saqqara, a necropolis near Memphis in Lower Egypt. It was a burial place of Apis bulls, which were incarnations of the deity Ptah. It was believed that the bulls became immortal after death as Osiris Apis, a name shortened to Serapis in the Hellenic period."
Unfinished Pyramid,29.9401222,31.151556,Egypt,https://www.megalithicbuilders.com/africa/egypt/lower-egypt/zawyet-el-aryan-unfinished-pyramid,https://www.megalithicbuilders.com/images/africa/egypt/zawyet-el-aryan-unfinished-pyramid/zawyet-el-aryan-unfinished-pyramid-main2.jpg,"Zawyet El Aryan is a town in the Giza Governorate, located between Giza and Abusir. To the west of the town, just in the desert area, is a necropolis, referred to by the same name. Almost directly east across the Nile is Memphis. In Zawyet El Aryan, there are two pyramid complexes and five mastaba cemeteries."
Temple Complex,15.3350061,76.45924573,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/abu-simbel-temple-complex,https://www.megalithicbuilders.com/images/africa/egypt/abu-simbel-temple-complex/abu-simbel-temple-complex-main1.jpg,"Construction of the temple complex started in approximately 1264 BC and lasted for about 20 years, until 1244 BC. Known as the ""Temple of Ramesses, beloved by Amun"" it was one of six rock temples erected in Nubia during the long reign of Ramesses II. Their purpose was to impress Egypt's southern neighbours, and also to reinforce the status of Egyptian religion in the region."
Osirion,26.18413345,31.91841019,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/abydos-osirion,https://www.megalithicbuilders.com/images/africa/egypt/abydos-osireion/gallery/osireion-abydos-01.jpg,"The Osirion or Osireon is an ancient Egyptian temple. It is located at Abydos, to the rear of the temple of Seti I. It is an integral part of Seti I's funeral complex and is built to resemble an 18th Dynasty Valley of the Kings tomb."
Elephantine Island,24.09114235,32.89016954,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/aswan-elephantine-island,https://www.megalithicbuilders.com/images/africa/egypt/aswan-elephantine-island/aswan-elephantine-island-main.jpg,"Elephantine is an island on the Nile, forming part of the city of Aswan in southern Egypt. There are archaeological sites on the island."
Unfinished Obelisk,24.0769125,32.89541181,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/aswan-unfinished-obelisk,https://www.megalithicbuilders.com/images/africa/egypt/aswan-unfinished-obelisk/gallery/aswan-unfinished-obelisk-01.jpg,"The unfinished obelisk is the largest known ancient obelisk and is located in the northern region of the stone quarries of ancient Egypt in Aswan (Assuan), Egypt. It was ordered by Hatshepsut (1508–1458 BC), possibly to complement the Lateran Obelisk (which was originally at Karnak, and was later brought to the Lateran Palace in Rome). It is nearly one third larger than any ancient Egyptian obelisk ever erected. If finished it would have measured around 42 m (approximately 137 feet) and would have weighed nearly 1,090 metric tons (1,200 tons) which is the weight equal to about 200 African elephants."
Temple Complex,15.3350061,76.45924573,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/dendera-temple-complex,https://www.megalithicbuilders.com/images/africa/egypt/denderra-temple-complex/denderra-temple-complex-main2.jpg,"Dendera Temple complex (Ancient Egyptian: Iunet or Tantere; the 19th-century English spelling in most sources, including Belzoni, was Tentyra) is located about 2.5 kilometres (1.6 mi) south-east of Dendera, Egypt. It is one of the best-preserved temple complexes in Egypt. The area was used as the sixth Nome of Upper Egypt, south of Abydos."
Karnak Temple Complex,25.71951625,32.65936598,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/thebes-karnak-temple-complex,https://www.megalithicbuilders.com/images/africa/egypt/thebes-karnak-temple-complex/thebes-karnak-temple-complex-main5.jpg,"The Karnak Temple Complex, commonly known as Karnak, comprises a vast mix of decayed temples, chapels, pylons, and other buildings. Construction at the complex began during the reign of Senusret I in the Middle Kingdom and continued into the Ptolemaic period, although most of the extant buildings date from the New Kingdom. The area around Karnak was the ancient Egyptian Ipet-isut (""The Most Selected of Places"") and the main place of worship of the eighteenth dynasty Theban Triad with the god Amun as its head. It is part of the monumental city of Thebes. The Karnak complex gives its name to the nearby, and partly surrounded, modern village of El-Karnak, 2.5 kilometres (1.6 miles) north of Luxor."
Luxor Temple,25.70075835,32.63988363,Egypt,https://www.megalithicbuilders.com/africa/egypt/upper-egypt/thebes-luxor-temple,https://www.megalithicbuilders.com/images/africa/egypt/thebes-luxor-temple/thebes-luxor-temple-main3.jpg,"Luxor Temple is a large Ancient Egyptian temple complex located on the east bank of the Nile River in the city today known as Luxor (ancient Thebes) and was constructed approximately 1400 BCE. In the Egyptian language it is known as ipet resyt, ""the southern sanctuary"". In Luxor there are several great temples on the east and west banks. Four of the major mortuary temples visited by early travelers and tourists include the Temple of Seti I at Gurnah, the Temple of Hatshepsut at Deir el Bahri, the Temple of Ramesses II (a.k.a. Ramesseum), and the Temple of Ramesses III at Medinet Habu; and the two primary cults temples on the east bank are known as the Karnak and Luxor. Unlike the other temples in Thebes, Luxor temple is not dedicated to a cult god or a deified version of the king in death. Instead Luxor temple is dedicated to the rejuvenation of kingship; it may have been where many of the kings of Egypt were crowned in reality or conceptually (as in the case of Alexander the Great who claimed he was crowned at Luxor but may never have traveled south of Memphis, near modern Cairo.)"
Obelisks,52.964722,-6.851667,Ethiopia,https://www.megalithicbuilders.com/africa/ethiopia/axum-obelisks,https://www.megalithicbuilders.com/images/africa/ethiopia/axum-obelisks/axum-obelisks-main1.jpg,"Axum or Aksum is a city in the northern part of Ethiopia. The town has a population of 56,500 residents (2010), and is governed as an urban wäräda."
Rock-Hewn Churches,43.6948612,25.9878906,Ethiopia,https://www.megalithicbuilders.com/africa/ethiopia/lalibela-rock-hewn-churches,https://www.megalithicbuilders.com/images/africa/ethiopia/lalibela-rock-hewn-churches/lalibela-rock-hewn-churches-main3.jpg,"Lalibela is a town in Amhara Region, northern Ethiopia famous for monolithic rock-cut churches. The whole of Lalibela offers an exceptional testimony to the medieval and post-medieval civilization of Ethiopia. Lalibela is one of Ethiopia's holiest cities, second only to Aksum, and a center of pilgrimage. Unlike Aksum, the population of Lalibela is almost completely Ethiopian Orthodox Christian. Ethiopia is one of the earliest nations to adopt Christianity in the first half of the fourth century, and its historical roots date to the time of the Apostles. The churches themselves date from the seventh to thirteenth centuries, and are traditionally dated to the reign of the Zagwe dynasty king Gebre Mesqel Lalibela (r. ca. 1181–1221 AD)."
Kailasa Temple,20.0237529,75.17934029,India,https://www.megalithicbuilders.com/asia/india/ellora-kailasa-temple,https://www.megalithicbuilders.com/images/asia/india/ellora-kailasa-temple/ellora-kailasa-temple-main1.jpg,"The Kailash (IAST: Kailāśa) or Kailasanatha temple (Kailāsanātha) is one of the largest rock-cut ancient Hindu temples located in Ellora, Maharashtra, India. A megalith carved out of one single rock, it is considered one of the most remarkable cave temples in India because of its size, architecture and sculptural treatment."
Warangal Fort,17.95649465,79.61542513,India,https://www.megalithicbuilders.com/asia/india/warangal-warangal-fort,https://www.megalithicbuilders.com/images/asia/india/warangal-warangal-fort/warangal-warangal-fort-main1.jpg,"Warangal Fort, in Warangal in the Indian state of Telangana, appears to have existed since at least the 12th century when it was the capital of the Kakatiya dynasty. The fort has four ornamental gates, known as Kakatiya Kala Thoranam, that originally formed the entrances to a now ruined great Shiva temple. The Kakatiyan arch has been adopted and officially incorporated into the Emblem of Telangana after the state bifurcation."
Gunung Padang,-7.052778,107.416389,Indonesia,https://www.megalithicbuilders.com/asia/indonesia/west-java-gunung-padang,https://www.megalithicbuilders.com/images/asia/indonesia/west-java-gunung-padang/west-java-gunung-padang-main1.jpg,"Gunung Padang is a megalithic site located in Karyamukti village, Cianjur regency, West Java Province of Indonesia, 50 km southwest of the city of Cianjur or 6 kilometers from Lampegan station. It has been called the largest megalithic site in all of Southeastern Asia, and has produced carbon dating results which, if confirmed, suggest it is extraordinarily old. The survey believes that Gunung Padang was built in four different eras."
