Sites,Latitude,Longitude,Country,Site Links,Image Source,Paragraph
Mnajdra Temple Complex,35.82266338,14.43516493,Malta,https://www.megalithicbuilders.com/europe/malta/qrendi-mnajdra-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/qrendi-mnajdra-temple-complex/qrendi-mnajdra-temple-complex-main1.jpg,"Mnajdra (Maltese: L-Imnajdra) is a megalithic temple complex found on the southern coast of the Mediterranean island of Malta. Mnajdra is approximately 500 metres from the Ä¦aÄ¡ar Qim megalithic complex. Mnajdra was built around the fourth millennium BCE; the Megalithic Temples of Malta are among the most ancient religious sites on Earth, described by the World Heritage Sites committee as ""unique architectural masterpieces."" In 1992 UNESCO recognized the Mnajdra complex and four other Maltese megalithic structures as UNESCO World Heritage Sites. In 2009 work was completed on a protective tent."
Skorba Temple Complex,35.91913632,14.37326184,Malta,https://www.megalithicbuilders.com/europe/malta/zebbiegh-skorba-temple-complex,https://www.megalithicbuilders.com/images/europe/malta/zebbiegh-skorba-temple-complex/zebbiegh-skorba-temple-complex-main1.jpg,"The Skorba temples are megalithic remains on the northern edge of Å»ebbiegÄ§, in Malta, which have provided detailed and informative insight into the earliest periods of Malta's neolithic culture. The site was only excavated in the early 1960s, rather late in comparison to other megalithic sites, some of which had been studied since the early 19th century. The site's importance has led to its listing as a UNESCO World Heritage Site, a listing it shares with six other megalithic temples in Malta."
Hunebedden Dolmens,52.132633,5.291266,Netherlands,https://www.megalithicbuilders.com/europe/netherlands/drenthe-hunebedden-dolmens,http://www.hunebedden.nl/d15_avondstemming.jpg,"Drenthe is a province of the Netherlands, located in the northeast of the country. It is bordered by Overijssel to the south, Friesland to the west, Groningen to the north, and Germany (districts of Emsland and Bentheim) to the east. In January 2017, it had a population of 491,867 and a total area of 2,683 km2 (1,036 sq mi)."
Bimini Road,26.962724,-80.107099,Bahamas,https://www.megalithicbuilders.com/north-america/bahamas/bimini-bimini-road,https://allthatsinteresting.com/wordpress/wp-content/uploads/2018/05/bimini-road-diver.jpg,"The Bimini Road, sometimes called the Bimini Wall, is an underwater rock formation near North Bimini island in the Bahamas. The Road consists of a 0.8 km (0.50 mi)-long northeast-southwest linear feature composed of roughly rectangular to subrectangular limestone blocks. Various claims have been made for this feature being either a wall, road, pier, breakwater, or other man-made structure. However, credible evidence or arguments are lacking for such an origin."
Stone Spheres,8.911389,-83.4775,Costa Rica,https://www.megalithicbuilders.com/north-america/costa-rica/isla-del-cano-stone-spheres,https://www.megalithicbuilders.com/images/south-america/costa-rica/isla-del-cano-stone-spheres/isla-del-cano-stone-spheres-main1.jpg,"The stone spheres (or stone balls) of Costa Rica are an assortment of over three hundred petrospheres in Costa Rica, located on the DiquÃ­s Delta and on Isla del CaÃ±o. Locally, they are known as Las Bolas (literally The Balls). The spheres are commonly attributed to the extinct DiquÃ­s culture and are sometimes referred to as the DiquÃ­s Spheres. They are the best-known stone sculptures of the Isthmo-Colombian area. They are thought to have been placed in lines along the approach to the houses of chiefs, but their exact significance remains uncertain."
Cuban Underwater City,21.772547,-84.836736,Cuba,https://www.megalithicbuilders.com/north-america/cuba/pinar-del-rio-cuban-underwater-city,https://www.ancient-origins.net/sites/default/files/field/image/sunken-city-cuba.jpg,Cuban underwater city refers to a site thought by some to be a submerged granite structural complex off the coast of the Guanahacabibes Peninsula in the Pinar del RÃ­o Province of Cuba.
La Venta Complex,7.88788485,-72.50904154,Mexico,https://www.megalithicbuilders.com/north-america/mexico/la-venta-la-venta-complex,http://www.ancient-wisdom.com/Images/countries/American%20pics/laventa.gif,"La Venta is a pre-Columbian archaeological site of the Olmec civilization located in the present-day Mexican state of Tabasco. Some of the artifacts have been moved to the museum ""Parque - Museo de La Venta"", which is in nearby Villahermosa, the capital of Tabasco."
Tres Zapotes Complex,18.466667,-95.436389,Mexico,https://www.megalithicbuilders.com/north-america/mexico/tres-zapotes-tres-zapotes-complex,http://www.ancientpages.com/wp-content/uploads/2017/05/treszapotes2.jpg,"The 2000-year existence of Tres Zapotes as a cultural center is unusual, if not unique, in Mesoamerica."
San Agustin Archaeological Park,1.916667,-76.233333,Columbia,https://www.megalithicbuilders.com/south-america/columbia/huila-san-agustin-archaeological-park,https://www.megalithicbuilders.com/images/south-america/columbia/huila-san-agustin-archaeological-park/huila-san-agustin-archaeological-park-main1.jpg,"The statues were first described by a Spanish monk, Fray Juan de Santa Gertrudis (1724â€“1799), who visited the countries of Colombia (then part of the New Kingdom of Granada), Ecuador and Peru in 1756â€“57 as a missionary. He passed through San AgustÃ­n in mid-1756, and wrote about the statues in his four-volume work Maravillas de la naturaleza (English: Wonders of Nature)."
Gate of the Gods,-16.1707193,-69.5410622,Peru,https://www.megalithicbuilders.com/south-america/peru/aramu-muru-gate-of-the-gods,http://www.ancient-wisdom.com/Images/countries/American%20pics/aramu%20muru.jpg,"An abandoned stone place in Peru, near Lake Titicaca, known as a â€œGate of the Godsâ€, portal and stargate. It remained after Incan civilization. The doorway itself looks like a big T letter, carved into the rock wall. An adult person could fit into the doorway. There are old legends that people traveled in space through the portal. Aramu Muru could be classified as a mystical artifact, though its paranormal features yet to be scientifically proven. The place is a popular tourist destination for paranormal pilgrimage."
Temple of HuaytarÃ¡,-13.6044057,-75.3531892,Peru,https://www.megalithicbuilders.com/south-america/peru/huaytara-temple-of-huaytara,https://lh3.googleusercontent.com/p/AF1QipP5epF9XeZrVVLXox9QSpfIPqmqElj7SryaOhIO=w216-h144-c,"The archaeological complex of HuaytarÃ¡ is located in the district of HuaytarÃ¡, within the province of the same name, in the department and region of Huancavelica."
